DATASET_SHORT,KEYWORD,probability,DATASET_LONG,DATASET_NODE_ID,KEYWORD_NODE_ID
SNDRSNIML3SDCCPN,atmospheric winds,0.99,Sounder SIPS: Suomi NPP CrIMSS Level 3 Specific Quality Control Gridded Daily CLIMCAPS Normal Spectral Resolution V2 (SNDRSNIML3SDCCPN) at GES DISC,681,1746
SNDRSNIML3SDCCPN,water vapor processes,0.99,Sounder SIPS: Suomi NPP CrIMSS Level 3 Specific Quality Control Gridded Daily CLIMCAPS Normal Spectral Resolution V2 (SNDRSNIML3SDCCPN) at GES DISC,681,1722
SNDRSNIML3SDCCPN,longwave radiation,0.99,Sounder SIPS: Suomi NPP CrIMSS Level 3 Specific Quality Control Gridded Daily CLIMCAPS Normal Spectral Resolution V2 (SNDRSNIML3SDCCPN) at GES DISC,681,1719
SNDRSNIML3SDCCPN,heat flux,0.99,Sounder SIPS: Suomi NPP CrIMSS Level 3 Specific Quality Control Gridded Daily CLIMCAPS Normal Spectral Resolution V2 (SNDRSNIML3SDCCPN) at GES DISC,681,1718
SNDRSNIML3SDCCPN,water vapor,0.99,Sounder SIPS: Suomi NPP CrIMSS Level 3 Specific Quality Control Gridded Daily CLIMCAPS Normal Spectral Resolution V2 (SNDRSNIML3SDCCPN) at GES DISC,681,1630
SNDRSNIML3SDCCPN,soil moisture/water content,0.99,Sounder SIPS: Suomi NPP CrIMSS Level 3 Specific Quality Control Gridded Daily CLIMCAPS Normal Spectral Resolution V2 (SNDRSNIML3SDCCPN) at GES DISC,681,1626
SNDRSNIML3SDCCPN,soils,0.99,Sounder SIPS: Suomi NPP CrIMSS Level 3 Specific Quality Control Gridded Daily CLIMCAPS Normal Spectral Resolution V2 (SNDRSNIML3SDCCPN) at GES DISC,681,1625
M2IUNXLFO,upper air temperature,0.99,"MERRA-2 instU_2d_lfo_Nx: 2d,diurnal,Instantaneous,Single-Level,Assimilation,Land Surface Forcings 0.625 x 0.5 degree V5.12.4 (M2IUNXLFO) at GES DISC",679,1670
S5P_L2__O3__PR,aerosols,0.99,Sentinel-5P TROPOMI Ozone Profile 1-Orbit L2 21km x 28km V1 (S5P_L2__O3__PR) at GES DISC,1252,1607
MAT1NXOCN,surface pressure,0.99,"tavg1_2d_ocn_Nx: MERRA 2D IAU Ocean Surface Diagnostic, Time Average 1-hourly  0.667 x 0.5 degree V5.2.0 (MAT1NXOCN) at GES DISC",154,1668
MAT1NXOCN,atmospheric pressure,0.99,"tavg1_2d_ocn_Nx: MERRA 2D IAU Ocean Surface Diagnostic, Time Average 1-hourly  0.667 x 0.5 degree V5.2.0 (MAT1NXOCN) at GES DISC",154,1665
FLDAS_NOAH001_G_CA_D,cloud top pressure,0.99,FLDAS Noah Land Surface Model L4 Central Asia Daily 0.01 x 0.01 degree V001 (FLDAS_NOAH001_G_CA_D) at GES DISC,153,1688
FLDAS_NOAH001_G_CA_D,air quality,0.99,FLDAS Noah Land Surface Model L4 Central Asia Daily 0.01 x 0.01 degree V001 (FLDAS_NOAH001_G_CA_D) at GES DISC,153,1615
TOVSBMNG,atmospheric radiation,0.99,TOVS LMD MONTHLY GRIDS from NOAA-10 V01 (TOVSBMNG) at GES DISC,1533,1586
M2TUNXOCN,geopotential height,0.99,"MERRA-2 tavgU_2d_ocn_Nx: 2d,diurnal,Time-Averaged,Single-Level,Assimilation,Ocean Surface Diagnostics 0.625 x 0.5 degree V5.12.4 (M2TUNXOCN) at GES DISC",674,1705
OMCLDRR,upper air temperature,0.99,OMI/Aura Effective Cloud Pressure and Fraction (Raman Scattering) 1-Orbit L2 Swath 13x24 km V003 (OMCLDRR) at GES DISC,1532,1670
M2IUNXASM,longwave radiation,0.99,"MERRA-2 instU_2d_asm_Nx: 2d,diurnal,Instantaneous,Single-Level,Assimilation,Single-Level Diagnostics 0.625 x 0.5 degree V5.12.4 (M2IUNXASM) at GES DISC",1247,1719
M2IUNXASM,heat flux,0.99,"MERRA-2 instU_2d_asm_Nx: 2d,diurnal,Instantaneous,Single-Level,Assimilation,Single-Level Diagnostics 0.625 x 0.5 degree V5.12.4 (M2IUNXASM) at GES DISC",1247,1718
M2IUNXASM,precipitation rate,0.99,"MERRA-2 instU_2d_asm_Nx: 2d,diurnal,Instantaneous,Single-Level,Assimilation,Single-Level Diagnostics 0.625 x 0.5 degree V5.12.4 (M2IUNXASM) at GES DISC",1247,1714
M2IUNXASM,cloud fraction,0.99,"MERRA-2 instU_2d_asm_Nx: 2d,diurnal,Instantaneous,Single-Level,Assimilation,Single-Level Diagnostics 0.625 x 0.5 degree V5.12.4 (M2IUNXASM) at GES DISC",1247,1687
GSSTF_F08,emissivity,0.99,"Goddard Satellite-Based Surface Turbulent Fluxes, 0.25 x 0.25 deg, Daily Grid F08 V3 (GSSTF_F08) at GES DISC",1436,1716
M2IUNXASM,water vapor,0.99,"MERRA-2 instU_2d_asm_Nx: 2d,diurnal,Instantaneous,Single-Level,Assimilation,Single-Level Diagnostics 0.625 x 0.5 degree V5.12.4 (M2IUNXASM) at GES DISC",1247,1630
M2IUNXASM,atmospheric radiation,0.99,"MERRA-2 instU_2d_asm_Nx: 2d,diurnal,Instantaneous,Single-Level,Assimilation,Single-Level Diagnostics 0.625 x 0.5 degree V5.12.4 (M2IUNXASM) at GES DISC",1247,1586
GSSTF_F08,precipitation rate,0.99,"Goddard Satellite-Based Surface Turbulent Fluxes, 0.25 x 0.25 deg, Daily Grid F08 V3 (GSSTF_F08) at GES DISC",1436,1714
SNDRJ1ML2RMSSUP,surface winds,0.99,Sounder SIPS: JPSS-1 ATMS Level 2 RAMSES2 Support V3 (SNDRJ1ML2RMSSUP) at GES DISC,378,1749
GSSTF_F08,cloud vertical distribution,0.99,"Goddard Satellite-Based Surface Turbulent Fluxes, 0.25 x 0.25 deg, Daily Grid F08 V3 (GSSTF_F08) at GES DISC",1436,1712
SNDRJ1ML2RMSSUP,longwave radiation,0.99,Sounder SIPS: JPSS-1 ATMS Level 2 RAMSES2 Support V3 (SNDRJ1ML2RMSSUP) at GES DISC,378,1719
SNDRJ1ML2RMSSUP,heat flux,0.99,Sounder SIPS: JPSS-1 ATMS Level 2 RAMSES2 Support V3 (SNDRJ1ML2RMSSUP) at GES DISC,378,1718
SNDRJ1ML2RMSSUP,precipitation rate,0.99,Sounder SIPS: JPSS-1 ATMS Level 2 RAMSES2 Support V3 (SNDRJ1ML2RMSSUP) at GES DISC,378,1714
SNDRJ1ML2RMSSUP,cloud top pressure,0.99,Sounder SIPS: JPSS-1 ATMS Level 2 RAMSES2 Support V3 (SNDRJ1ML2RMSSUP) at GES DISC,378,1688
SNDRJ1ML2RMSSUP,cloud fraction,0.99,Sounder SIPS: JPSS-1 ATMS Level 2 RAMSES2 Support V3 (SNDRJ1ML2RMSSUP) at GES DISC,378,1687
GSSTF_F08,tropopause,0.99,"Goddard Satellite-Based Surface Turbulent Fluxes, 0.25 x 0.25 deg, Daily Grid F08 V3 (GSSTF_F08) at GES DISC",1436,1706
SNDRJ1ML2RMSSUP,outgoing longwave radiation,0.99,Sounder SIPS: JPSS-1 ATMS Level 2 RAMSES2 Support V3 (SNDRJ1ML2RMSSUP) at GES DISC,378,1679
GSSTF_F08,cloud top temperature,0.99,"Goddard Satellite-Based Surface Turbulent Fluxes, 0.25 x 0.25 deg, Daily Grid F08 V3 (GSSTF_F08) at GES DISC",1436,1689
SNDRJ1ML2RMSSUP,water vapor,0.99,Sounder SIPS: JPSS-1 ATMS Level 2 RAMSES2 Support V3 (SNDRJ1ML2RMSSUP) at GES DISC,378,1630
