DATASET_SHORT,KEYWORD,probability,DATASET_LONG,DATASET_NODE_ID,KEYWORD_NODE_ID
SNDRSNIML2CHTRETN,atmospheric winds,0.99,"Sounder SIPS: Suomi NPP CrIMSS Level 2 CHART Normal Spectral Resolution: Atmosphere, cloud and surface geophysical state V1",1509,1746
SNDRSNIML2CHTRETN,water vapor processes,0.99,"Sounder SIPS: Suomi NPP CrIMSS Level 2 CHART Normal Spectral Resolution: Atmosphere, cloud and surface geophysical state V1",1509,1722
SNDRSNIML2CHTRETN,longwave radiation,0.99,"Sounder SIPS: Suomi NPP CrIMSS Level 2 CHART Normal Spectral Resolution: Atmosphere, cloud and surface geophysical state V1",1509,1719
SNDRSNIML2CHTRETN,heat flux,0.99,"Sounder SIPS: Suomi NPP CrIMSS Level 2 CHART Normal Spectral Resolution: Atmosphere, cloud and surface geophysical state V1",1509,1718
SNDRSNIML2CHTRETN,water vapor,0.99,"Sounder SIPS: Suomi NPP CrIMSS Level 2 CHART Normal Spectral Resolution: Atmosphere, cloud and surface geophysical state V1",1509,1630
SNDRSNIML2CHTRETN,soil moisture/water content,0.99,"Sounder SIPS: Suomi NPP CrIMSS Level 2 CHART Normal Spectral Resolution: Atmosphere, cloud and surface geophysical state V1",1509,1626
SNDRSNIML2CHTRETN,soils,0.99,"Sounder SIPS: Suomi NPP CrIMSS Level 2 CHART Normal Spectral Resolution: Atmosphere, cloud and surface geophysical state V1",1509,1625
SNDRJ1IML3CDCCP,surface winds,0.99,Sounder SIPS: JPSS-1 CrIS Level 3 Comprehensive Quality Control Gridded Daily CLIMCAPS V2 (SNDRJ1IML3CDCCP) at GES DISC,1505,1749
SNDRJ1IML3CDCCP,atmospheric winds,0.99,Sounder SIPS: JPSS-1 CrIS Level 3 Comprehensive Quality Control Gridded Daily CLIMCAPS V2 (SNDRJ1IML3CDCCP) at GES DISC,1505,1746
AIRS,total precipitable water,0.99,Atmospheric Infrared Sounder,2171,1685
SNDRJ1IML3CDCCP,water vapor processes,0.99,Sounder SIPS: JPSS-1 CrIS Level 3 Comprehensive Quality Control Gridded Daily CLIMCAPS V2 (SNDRJ1IML3CDCCP) at GES DISC,1505,1722
SNDRJ1IML3CDCCP,longwave radiation,0.99,Sounder SIPS: JPSS-1 CrIS Level 3 Comprehensive Quality Control Gridded Daily CLIMCAPS V2 (SNDRJ1IML3CDCCP) at GES DISC,1505,1719
SNDRJ1IML3CDCCP,heat flux,0.99,Sounder SIPS: JPSS-1 CrIS Level 3 Comprehensive Quality Control Gridded Daily CLIMCAPS V2 (SNDRJ1IML3CDCCP) at GES DISC,1505,1718
SNDRJ1IML3CDCCP,water vapor,0.99,Sounder SIPS: JPSS-1 CrIS Level 3 Comprehensive Quality Control Gridded Daily CLIMCAPS V2 (SNDRJ1IML3CDCCP) at GES DISC,1505,1630
SNDRJ1IML3CDCCP,soil moisture/water content,0.99,Sounder SIPS: JPSS-1 CrIS Level 3 Comprehensive Quality Control Gridded Daily CLIMCAPS V2 (SNDRJ1IML3CDCCP) at GES DISC,1505,1626
M2SMNXSLV,upper air temperature,0.99,"MERRA-2 statM_2d_slv_Nx: 2d,Monthly,Aggregated Statistics,Single-Level,Assimilation,Single-Level Diagnostics 0.625 x 0.5 degree V5.12.4 (M2SMNXSLV) at GES DISC",1320,1670
