Collection,Title,Version,DOI,Dataset Progress,Level,Granularity,Granule Size,Format,Creation Date,Data Start Date,Data End Date,Mission/Project,Metadata Author,L2,L34RS,GeoTiff,Giovanni,AIRS L1L2,WCS,WMS,THREDDS,OPeNDAP,GDS,Worldview
ACOSMonthlyGriddedXCO2,Monthly Gridded Level 4 bias-corrected XCO2 and other select fields aggregated from ACOS as Level 4 monthly files,3,10.5067/6NHKPP06K0ZF,COMPLETE,4,1 day,1.3 MB per file,netCDF,2022-02-11T00:00:00.000Z,2014-09-07T16:26:38.164Z,2020-06-28T22:25:08.716Z,MEaSUREs,THOMAS HEARTY,,,,,,,,,OPENDAP,,
ACOS_L2S,ACOS GOSAT/TANSO-FTS Level 2 Full Physics Standard Product V7.3,7.3,,COMPLETE,2,sun-lit orbit (45 minutes),3 MB per file,HDF5,2016-04-18T00:00:00.000Z,2009-04-20T00:00:00.000Z,,OCO,ANDREY SAVTCHENKO,,,,,,,,,OPENDAP,,
ACOS_L2S,ACOS GOSAT/TANSO-FTS Level 2 Full Physics Standard Product V9r,9r,10.5067/OSGTIL9OV0PN,COMPLETE,2,sun-lit orbit (45 minutes),3 MB per file,HDF5,2019-10-04T00:00:00.000Z,2009-04-20T00:00:00.000Z,,OCO,ANDREY SAVTCHENKO,,,,,,,,,OPENDAP,,
ACOS_L2_Lite_FP,ACOS GOSAT/TANSO-FTS Level 2 bias-corrected XCO2 and other select fields from the full-physics retrieval aggregated as daily files V7.3,7.3,,ACTIVE,2,1 day,50 MB per file,netCDF,2016-10-28T00:00:00.000Z,2009-04-21T00:00:00.000Z,,OCO,ANDREY SAVTCHENKO,L2,,,,,,,,OPENDAP,,
ACOS_L2_Lite_FP,ACOS GOSAT/TANSO-FTS Level 2 bias-corrected XCO2 and other select fields from the full-physics retrieval aggregated as daily files V9r,9r,10.5067/VWSABTO7ZII4,ACTIVE,2,1 day,50 MB per file,netCDF,2019-12-30T00:00:00.000Z,2009-04-20T00:00:00.000Z,,OCO,ANDREY SAVTCHENKO,L2,,,,,,,,OPENDAP,,
ACOS_L2_Lite_SIF,ACOS GOSAT/TANSO-FTS Level 2 bias-corrected solar-induced fluorescence and other select fields from the IMAP-DOAS algorithm aggregated as daily files V9r,9r,10.5067/4LMYCW8LKPPI,ACTIVE,2,1 day,50 MB per file,netCDF,2019-12-30T00:00:00.000Z,2009-04-22T00:00:00.000Z,,OCO,ANDREY SAVTCHENKO,,,,,,,,,,,
AIRABRAD,AIRS/Aqua L1B AMSU (A1/A2) geolocated and calibrated brightness temperatures V005,005,10.5067/LFUQ1L3IYVQD,ACTIVE,1B,6 minutes,0.4 MB per file,HDF-EOS,2007-07-26T00:00:00.000Z,2002-05-21T00:00:00.000Z,,Aqua,ED ESFANDIARI,,,,,,,,,OPENDAP,,
AIRABRAD_NRT,AIRS/Aqua L1B Near Real Time (NRT) AMSU (A1/A2) geolocated and calibrated brightness temperatures V005,005,,ACTIVE,1B,6 minutes,0.4 MB per file,HDF-EOS,2007-07-26T00:00:00.000Z,2015-12-15T00:00:00.000Z,,Aqua,ED ESFANDIARI,,,,,,,,,OPENDAP,,
AIRG2SSD,AIRS/Aqua L2G Precipitation Estimate V006,006,10.5067/Aqua/AIRS/DATA210,ACTIVE,2G,6 minutes,0.4 MB per file,HDF-EOS,2013-01-15T00:00:00.000Z,2002-08-30T00:00:00.000Z,2016-09-25T23:59:59.999Z,Aqua,ED ESFANDIARI,,,,,,,,,OPENDAP,,
AIRG2SSD_IRonly,AIRS/Aqua L2G Precipitation Estimate (AIRS-only) V006,006,10.5067/IVM9SK5USQOS,ACTIVE,2G,6 minutes,0.4 MB per file,HDF-EOS,2013-01-15T00:00:00.000Z,2002-08-30T00:00:00.000Z,,Aqua,ED ESFANDIARI,,,,,,,,,OPENDAP,,
AIRG2SSD_IRonly,AIRS/Aqua L2G Precipitation Estimate (AIRS-only) V7.0,7,10.5067/Z6JIZ2895VEN,ACTIVE,2G,6 minutes,0.4 MB per file,HDF-EOS,2020-03-01T00:00:00.000Z,2002-08-30T00:00:00.000Z,,Aqua,Lena Iredell,,,,,,,,,OPENDAP,,
AIRH2CCF,AIRS/Aqua L2 Cloud-Cleared Infrared Radiances (AIRS+AMSU+HSB) V006,006,10.5067/Aqua/AIRS/DATA206,COMPLETE,2,6 minutes,13.6 MB per file,HDF-EOS,2013-01-15T00:00:00.000Z,2002-08-30T00:00:00.000Z,2003-02-05T23:59:59.999Z,Aqua,ED ESFANDIARI,,,,,,,,,OPENDAP,,
AIRH2CCF,Aqua/AIRS L2 Cloud-Cleared Infrared Radiances (AIRS+AMSU+HSB) V7.0,7,10.5067/35KI842PC0ZX,ACTIVE,2,6 minutes,13.6 MB per file,HDF-EOS,2019-12-15T00:00:00.000Z,2002-08-30T00:00:00.000Z,2003-02-06T23:59:59.999Z,Aqua,LENA IREDELL,,,,,,,,,OPENDAP,,
AIRH2RET,AIRS/Aqua L2 Standard Physical Retrieval (AIRS+AMSU+HSB) V006,006,10.5067/Aqua/AIRS/DATA203,COMPLETE,2,6 minutes,3.9 MB per file,HDF-EOS,2013-01-15T00:00:00.000Z,2002-08-30T00:00:00.000Z,2003-02-05T23:59:59.999Z,Aqua,ED ESFANDIARI,,,,,,,,,OPENDAP,,
AIRH2RET,Aqua/AIRS L2 Standard Physical Retrieval (AIRS+AMSU+HSB) V7.0,7,10.5067/I0KXS0D2AORI,ACTIVE,2,6 minutes,3.9 MB per file,HDF-EOS,2019-12-15T00:00:00.000Z,2002-08-30T00:00:00.000Z,2003-02-06T23:59:59.999Z,Aqua,LENA IREDELL,,,,,,,,,OPENDAP,,
AIRH2SUP,AIRS/Aqua L2 Support Retrieval (AIRS+AMSU+HSB) V006,006,10.5067/Aqua/AIRS/DATA209,COMPLETE,2,6 minutes,21.2 MB per file,HDF-EOS,2013-01-15T00:00:00.000Z,2002-08-30T00:00:00.000Z,2003-02-05T23:59:59.999Z,Aqua,ED ESFANDIARI,,,,,,,,,OPENDAP,,
AIRH2SUP,Aqua/AIRS L2 Support Retrieval (AIRS+AMSU+HSB) V7.0,7,10.5067/PRQMQW7IHA5M,ACTIVE,2,6 minutes,21.2 MB per file,HDF-EOS,2019-12-15T00:00:00.000Z,2002-08-30T00:00:00.000Z,2003-02-06T23:59:59.999Z,Aqua,LENA IREDELL,,,,,,,,,OPENDAP,,
AIRH3QP5,AIRS/Aqua L3 5-day Quantization in Physical Units (AIRS+AMSU+HSB) 5 degrees x 5 degrees V006,006,10.5067/Aqua/AIRS/DATA332,COMPLETE,3,5 days,41.8 MB per file,HDF-EOS,2013-03-12T00:00:00.000Z,2002-09-01T00:00:00.000Z,2003-02-06T23:59:59.999Z,Aqua,ED ESFANDIARI,,,,,,,,,OPENDAP,,
AIRH3QPM,AIRS/Aqua L3 Monthly Quantization in Physical Units (AIRS+AMSU+HSB) 5 degrees x 5 degrees V006,006,10.5067/Aqua/AIRS/DATA329,COMPLETE,3,1 month,10.2 MB per file,HDF-EOS,2013-03-12T00:00:00.000Z,2002-09-01T00:00:00.000Z,2003-02-01T23:59:59.999Z,Aqua,ED ESFANDIARI,,,,,,,,,OPENDAP,,
AIRH3SP8,AIRS/Aqua L3 8-day Support Multiday Product (AIRS+AMSU+HSB) 1 degree x 1 degree V006,006,10.5067/Aqua/AIRS/DATA314,COMPLETE,3,8 days,563.3 MB per file,HDF-EOS,2013-03-12T00:00:00.000Z,2002-09-01T00:00:00.000Z,2003-02-08T23:59:59.999Z,Aqua,ED ESFANDIARI,,,,,,,,,OPENDAP,,
AIRH3SPD,AIRS/Aqua L3 Daily Support Daily Product (AIRS+AMSU+HSB) 1 degree x 1 degree V006,006,10.5067/Aqua/AIRS/DATA305,COMPLETE,3,1 day,474.9 MB per file,HDF-EOS,2013-03-12T00:00:00.000Z,2002-08-31T00:00:00.000Z,2003-02-06T23:59:59.999Z,Aqua,ED ESFANDIARI,,,,,,,,,OPENDAP,,
AIRH3SPD,Aqua/AIRS L3 Daily Support Daily Product (AIRS+AMSU+HSB) 1 degree x 1 degree V7.0,7,10.5067/B0MMJS2ZBNR9,COMPLETE,3,1 day,474.9 MB per file,HDF-EOS,2019-12-15T00:00:00.000Z,2002-08-31T00:00:00.000Z,2003-02-06T23:59:59.999Z,Aqua,LENA IREDELL,,,,,,,,,OPENDAP,,
AIRH3SPM,AIRS/Aqua L3 Monthly Support Monthly Product (AIRS+AMSU+HSB) 1 degree x 1 degree V006,006,10.5067/Aqua/AIRS/DATA323,COMPLETE,3,1 month,554.5 MB per file,HDF-EOS,2013-03-12T00:00:00.000Z,2002-09-01T00:00:00.000Z,2003-03-01T23:59:59.999Z,Aqua,ED ESFANDIARI,,,,,,,,,OPENDAP,,
AIRH3SPM,Aqua/AIRS L3 Monthly Support Monthly Product (AIRS+AMSU+HSB) 1 degree x 1 degree V7.0,7,10.5067/UKZVQEWZY7TA,COMPLETE,3,1 month,554.5 MB per file,HDF-EOS,2019-12-15T00:00:00.000Z,2002-09-01T00:00:00.000Z,2003-03-01T23:59:59.999Z,Aqua,LENA IREDELL,,,,,,,,,OPENDAP,,
AIRH3ST8,AIRS/Aqua L3 8-day Standard Physical Retrieval (AIRS+AMSU+HSB) 1 degree x 1 degree V006,006,10.5067/Aqua/AIRS/DATA311,COMPLETE,3,8 days,452.2 MB per file,HDF-EOS,2013-03-12T00:00:00.000Z,2002-09-01T00:00:00.000Z,2003-02-08T23:59:59.999Z,Aqua,ED ESFANDIARI,,,,,,,,,OPENDAP,,
AIRH3STD,AIRS/Aqua L3 Daily Standard Physical Retrieval (AIRS+AMSU+HSB) 1 degree x 1 degree V006,006,10.5067/Aqua/AIRS/DATA302,COMPLETE,3,1 day,376.1 MB per file,HDF-EOS,2013-03-12T00:00:00.000Z,2002-08-31T00:00:00.000Z,2003-02-06T23:59:59.999Z,Aqua,ED ESFANDIARI,,,,,,,,,OPENDAP,,
AIRH3STD,Aqua/AIRS L3 Daily Standard Physical Retrieval (AIRS+AMSU+HSB) 1 degree x 1 degree V7.0,7,10.5067/Z03H907L0KMS,ACTIVE,3,1 day,376.1 MB per file,HDF-EOS,2019-12-15T00:00:00.000Z,2002-08-31T00:00:00.000Z,2003-02-06T23:59:59.999Z,Aqua,LENA IREDELL,,,,,,,,,OPENDAP,,
AIRH3STM,AIRS/Aqua L3 Monthly Standard Physical Retrieval (AIRS+AMSU+HSB) 1 degree x 1 degree V006,006,10.5067/Aqua/AIRS/DATA320,COMPLETE,3,1 month,445.7 MB per file,HDF-EOS,2013-03-12T00:00:00.000Z,2002-09-01T00:00:00.000Z,2003-03-01T23:59:59.999Z,Aqua,ED ESFANDIARI,,,,,,,,,OPENDAP,,
AIRH3STM,Aqua/AIRS L3 Monthly Standard Physical Retrieval (AIRS+AMSU+HSB) 1 degree x 1 degree V7.0,7,10.5067/P9IV65KPY8J8,ACTIVE,3,1 month,445.7 MB per file,HDF-EOS,2019-12-15T00:00:00.000Z,2002-09-01T00:00:00.000Z,2003-03-01T23:59:59.999Z,Aqua,LENA IREDELL,,,,,,,,,OPENDAP,,
AIRHBRAD,AIRS/Aqua L1B HSB geolocated and calibrated brightness temperatures V005,005,10.5067/DK4YPS36GBZN,COMPLETE,1B,6 minutes,1.6 MB per file,HDF-EOS,2007-07-26T00:00:00.000Z,2002-05-24T00:00:00.000Z,2003-11-20T23:59:59.999Z,Aqua,ED ESFANDIARI,,,,,,,,,OPENDAP,,
AIRI2CCF,AIRS/Aqua L2 Cloud-Cleared Infrared Radiances (AIRS+AMSU) V006,006,10.5067/Aqua/AIRS/DATA204,COMPLETE,2,6 minutes,13.6 MB per file,HDF-EOS,2013-01-15T00:00:00.000Z,2002-08-30T00:00:00.000Z,2016-09-24T23:59:59.999Z,Aqua,ED ESFANDIARI,,,,,,,,,OPENDAP,,
AIRI2CCF,Aqua/AIRS L2 Cloud-Cleared Infrared Radiances (AIRS+AMSU) V7.0,7,10.5067/PE66UHFFNAIQ,ACTIVE,2,6 minutes,13.6 MB per file,HDF-EOS,2019-12-15T00:00:00.000Z,2002-08-30T00:00:00.000Z,2016-09-24T23:59:59.999Z,Aqua,LENA IREDELL,,,,,,,,,OPENDAP,,
AIRIBQAP,AIRS/Aqua L1B Infrared (IR) quality assurance subset V005,005,10.5067/VV622VHH2LXV,ACTIVE,1B,6 minutes,3.8 MB per file,HDF-EOS,2007-07-26T00:00:00.000Z,2002-08-30T00:00:00.000Z,,Aqua,ED ESFANDIARI,,,,,,,,,OPENDAP,,
AIRIBQAP_NRT,AIRS/Aqua L1B Near Real Time (NRT) Infrared (IR) quality assurance subset V005,005,,ACTIVE,1B,6 minutes,3.8 MB per file,HDF-EOS,2007-07-26T00:00:00.000Z,2015-12-15T00:00:00.000Z,,Aqua,ED ESFANDIARI,,,,,,,,,OPENDAP,,
AIRIBRAD,AIRS/Aqua L1B Infrared (IR) geolocated and calibrated radiances V005,005,10.5067/YZEXEVN4JGGJ,ACTIVE,1B,6 minutes,1.6 MB per file,HDF-EOS,2007-07-26T00:00:00.000Z,2002-08-30T00:00:00.000Z,,Aqua,ED ESFANDIARI,,,,,,,,,OPENDAP,,
AIRIBRAD_NRT,AIRS/Aqua L1B Near Real Time (NRT) Infrared (IR) geolocated and calibrated radiances V005,005,,ACTIVE,1B,6 minutes,1.6 MB per file,HDF-EOS,2007-07-26T00:00:00.000Z,2015-12-15T00:00:00.000Z,,Aqua,ED ESFANDIARI,,,,,,,,,OPENDAP,,
AIRIBRAD_NRT_BUFR,AIRS/Aqua L1B Near Real Time (NRT) Infrared (IR) geolocated and calibrated radiances in BUFR format V005,005,,ACTIVE,1B,6 minutes,1.6 MB per file,BUFR,2007-07-26T00:00:00.000Z,2015-12-15T00:00:00.000Z,,Aqua,ED ESFANDIARI,,,,,,,,,OPENDAP,,
AIRICRAD,AIRS/Aqua L1C Infrared (IR) resampled and corrected radiances V006,006,10.5067/Aqua/AIRS/DATA101,COMPLETE,1,6 minutes,74.0 MB per file,HDF-EOS,2015-03-05T00:00:00.000Z,2015-11-22T00:00:00.000Z,2019-11-22T23:59:59.999Z,Aqua,ED ESFANDIARI,,,,,,,,,OPENDAP,,
AIRICRAD,AIRS/Aqua L1C Infrared (IR) resampled and corrected radiances V6.7,6.7,10.5067/VWD3DRC07UEN,ACTIVE,1,6 minutes,116 MB per file,HDF-EOS,2019-12-20T00:00:00.000Z,2002-08-30T00:00:00.000Z,,Aqua,LENA IREDELL,,,,,,,,,OPENDAP,,
AIRICRAD_NRT,AIRS/Aqua L1C Near Real Time (NRT) Infrared (IR) resampled and corrected radiances V6.7,6.7,10.5067/LJSDHD3RLTII,ACTIVE,1,6 minutes,116 MB per file,HDF-EOS,2019-12-20T00:00:00.000Z,2002-09-06T00:00:00.000Z,,Aqua,LENA IREDELL,,,,,,,,,OPENDAP,,
AIRS2CCF,AIRS/Aqua L2 Cloud-Cleared Infrared Radiances (AIRS-only) V006,006,10.5067/Aqua/AIRS/DATA205,ACTIVE,2,6 minutes,13.6 MB per file,HDF-EOS,2013-01-15T00:00:00.000Z,2002-08-30T00:00:00.000Z,,Aqua,ED ESFANDIARI,,,,,,,,,OPENDAP,,
AIRS2CCF,Aqua/AIRS L2 Cloud-Cleared Infrared Radiances (AIRS-only) V7.0,7,10.5067/MJ8L3K55HMZJ,ACTIVE,2,6 minutes,13.6 MB per file,HDF-EOS,2019-12-15T00:00:00.000Z,2002-08-30T00:00:00.000Z,,Aqua,LENA IREDELL,,,,,,,,,OPENDAP,,
AIRS2CCF_NRT,AIRS/Aqua L2 Near Real Time (NRT) Cloud-Cleared Infrared Radiances (AIRS-only) V006,006,10.1109/TGRS.2002.808236,ACTIVE,2,6 minutes,13.6 MB per file,HDF-EOS,2016-10-15T00:00:00.000Z,2016-10-15T00:00:00.000Z,,Aqua,ED ESFANDIARI,,,,,,,,,OPENDAP,,
AIRS2CCF_NRT,Aqua/AIRS L2 Near Real Time (NRT) Cloud-Cleared Infrared Radiances (AIRS-only) V7.0,7,10.5067/964DYFSEQVUB,ACTIVE,2,6 minutes,13.6 MB per file,HDF-EOS,2019-12-15T00:00:00.000Z,2002-08-30T00:00:00.000Z,,Aqua,LENA IREDELL,,,,,,,,,OPENDAP,,
AIRS2RET,AIRS/Aqua L2 Standard Physical Retrieval (AIRS-only) V006,006,10.5067/Aqua/AIRS/DATA202,ACTIVE,2,6 minutes,3.9 MB per file,HDF-EOS,2013-01-15T00:00:00.000Z,2002-08-30T00:00:00.000Z,,Aqua,ED ESFANDIARI,,,,,,,,,OPENDAP,,
AIRS2RET,Aqua/AIRS L2 Standard Physical Retrieval (AIRS-only) V7.0,7,10.5067/VP1M6OG1X7M1,ACTIVE,2,6 minutes,3.9 MB per file,HDF-EOS,2019-11-27T00:00:00.000Z,2002-08-30T00:00:00.000Z,,Aqua,LENA IREDELL,,,,,,,,,OPENDAP,,
AIRS2RET_NRT,AIRS/Aqua L2 Near Real Time (NRT) Standard Physical Retrieval (AIRS-only) V006,006,10.5194/acp-14-399-2014,ACTIVE,2,6 minutes,3.9 MB per file,HDF-EOS,2016-10-15T00:00:00.000Z,2016-10-15T00:00:00.000Z,,Aqua,ED ESFANDIARI,,,,,,,,,OPENDAP,,
AIRS2RET_NRT,Aqua/AIRS L2 Near Real Time (NRT) Standard Physical Retrieval (AIRS-only) V7.0,7,10.5067/RAEHAOH4VZM5,ACTIVE,2,6 minutes,3.9 MB per file,HDF-EOS,2019-12-15T00:00:00.000Z,2002-08-30T00:00:00.000Z,,Aqua,LENA IREDELL,,,,,,,,,OPENDAP,,
AIRS2SPC,AIRS/Aqua L2 CO2 support retrieval (AIRS-only) V005,005,,COMPLETE,2,6 minutes,0.32 MB per file,HDF-EOS,2010-01-01T00:00:00.000Z,2010-01-01T00:00:00.000Z,2017-03-01T23:59:59.999Z,Aqua,ED ESFANDIARI,,,,,,,,,OPENDAP,,
AIRS2STC,AIRS/Aqua L2 CO2 in the free troposphere (AIRS-only) V005,005,,COMPLETE,2,6 minutes,0.32 MB per file,HDF-EOS,2010-01-01T00:00:00.000Z,2010-01-01T00:00:00.000Z,2017-03-01T23:59:59.999Z,Aqua,ED ESFANDIARI,,,,,,,,,OPENDAP,,
AIRS2SUP,AIRS/Aqua L2 Support Retrieval (AIRS-only) V006,006,10.5067/Aqua/AIRS/DATA208,ACTIVE,2,6 minutes,21.2 MB per file,HDF-EOS,2013-01-15T00:00:00.000Z,2002-08-30T00:00:00.000Z,,Aqua,ED ESFANDIARI,,,,,,,,,OPENDAP,,
AIRS2SUP,Aqua/AIRS L2 Support Retrieval (AIRS-only) V7.0,7,10.5067/APJ6EEN0PD0Z,ACTIVE,2,6 minutes,21.2 MB per file,HDF-EOS,2019-12-15T00:00:00.000Z,2002-08-30T00:00:00.000Z,,Aqua,LENA IREDELL,,,,,,,,,OPENDAP,,
AIRS2SUP_NRT,AIRS/Aqua L2 Near Real Time (NRT) Support Retrieval (AIRS-only) V006,006,10.5194/acp-14-399-2014,ACTIVE,2,6 minutes,21.2 MB per file,HDF-EOS,2016-10-15T00:00:00.000Z,2016-10-15T00:00:00.000Z,,Aqua,ED ESFANDIARI,,,,,,,,,OPENDAP,,
AIRS2SUP_NRT,Aqua/AIRS L2 Near Real Time (NRT) Support Retrieval (AIRS-only) V7.0,7,10.5067/MOQOVNHNERGG,ACTIVE,2,6 minutes,21.2 MB per file,HDF-EOS,2019-12-15T00:00:00.000Z,2002-08-30T00:00:00.000Z,,Aqua,LENA IREDELL,,,,,,,,,OPENDAP,,
AIRS3C28,AIRS/Aqua L3 8-day CO2 in the free troposphere (AIRS-only) 2.5 degrees x 2 degrees V005,005,10.5067/Aqua/AIRS/DATA334,COMPLETE,3,8 days,0.5 MB per file,HDF-EOS,2009-10-15T00:00:00.000Z,2009-12-25T00:00:00.000Z,2017-02-21T23:59:59.999Z,Aqua,ED ESFANDIARI,,,,,,,,,OPENDAP,,
AIRS3C28,AIRS/Aqua L3 8-day CO2 in the free troposphere (AIRS-only) 1 degree x 1 degree V006,006,10.5067/Aqua/AIRS/DATA341,COMPLETE,3,8 days,0.5 MB per file,HDF-EOS,2009-10-15T00:00:00.000Z,2009-12-25T00:00:00.000Z,2017-02-21T23:59:59.999Z,Aqua,ED ESFANDIARI,,,,,,,,,OPENDAP,,
AIRS3C2D,AIRS/Aqua L3 Daily CO2 in the free troposphere (AIRS-only) 2.5 degrees x 2 degrees V005,005,10.5067/Aqua/AIRS/DATA335,COMPLETE,3,1 day,0.4 MB per file,HDF-EOS,2009-10-15T00:00:00.000Z,2010-01-01T00:00:00.000Z,2017-02-28T23:59:59.999Z,Aqua,ED ESFANDIARI,,,,,,,,,OPENDAP,,
AIRS3C2D,AIRS/Aqua L3 Daily CO2 in the free troposphere (AIRS-only) 1 degrees x 1 degrees V006,006,10.5067/Aqua/AIRS/DATA340,COMPLETE,3,1 day,0.4 MB per file,HDF-EOS,2009-10-15T00:00:00.000Z,2010-01-01T00:00:00.000Z,2017-02-28T23:59:59.999Z,Aqua,ED ESFANDIARI,,,,,,,,,OPENDAP,,
AIRS3C2M,AIRS/Aqua L3 Monthly CO2 in the free troposphere (AIRS-only) 2.5 degrees x 2 degrees V005,005,10.5067/Aqua/AIRS/DATA336,COMPLETE,3,1 month,0.5 MB per file,HDF-EOS,2008-12-15T00:00:00.000Z,2010-01-01T00:00:00.000Z,2017-02-28T23:59:59.999Z,Aqua,ED ESFANDIARI,,,,,,,,,OPENDAP,,
AIRS3C2M,AIRS/Aqua L3 Monthly CO2 in the free troposphere (AIRS-only) 1 degree x 1 degree V006,006,10.5067/Aqua/AIRS/DATA342,COMPLETE,3,1 month,0.5 MB per file,HDF-EOS,2008-12-15T00:00:00.000Z,2010-01-01T00:00:00.000Z,2017-02-28T23:59:59.999Z,Aqua,ED ESFANDIARI,,,,,,,,,OPENDAP,,
AIRS3QP5,AIRS/Aqua L3 5-day Quantization in Physical Units (AIRS-only) 5 degrees x 5 degrees V006,006,10.5067/Aqua/AIRS/DATA333,ACTIVE,3,5 days,41.8 MB per file,HDF-EOS,2013-03-12T00:00:00.000Z,2002-09-01T00:00:00.000Z,,Aqua,ED ESFANDIARI,,,,,,,,,OPENDAP,,
AIRS3QPM,AIRS/Aqua L3 Monthly Quantization in Physical Units (AIRS-only) 5 degrees x 5 degrees V006,006,10.5067/Aqua/AIRS/DATA330,ACTIVE,3,1 month,10.2 MB per file,HDF-EOS,2013-03-12T00:00:00.000Z,2002-09-01T00:00:00.000Z,,Aqua,ED ESFANDIARI,,,,,,,,,OPENDAP,,
AIRS3SP8,AIRS/Aqua L3 8-day Support Product (AIRS-only) 1 degree X 1 degree V006,006,10.5067/Aqua/AIRS/DATA315,ACTIVE,3,8 days,563.3 MB per file,HDF-EOS,2013-03-12T00:00:00.000Z,2002-09-01T00:00:00.000Z,,Aqua,ED ESFANDIARI,,,,,,,,,OPENDAP,,
AIRS3SPD,AIRS/Aqua L3 Daily Support Product (AIRS-only) 1 degree x 1 degree V006,006,10.5067/Aqua/AIRS/DATA306,ACTIVE,3,1 day,474.9 MB per file,HDF-EOS,2013-03-12T00:00:00.000Z,2002-08-31T00:00:00.000Z,,Aqua,ED ESFANDIARI,,,,,,,,,OPENDAP,,
AIRS3SPD,Aqua/AIRS L3 Daily Support Product (AIRS-only) 1 degree x 1 degree V7.0,7,10.5067/ENI8HFAJE9CH,ACTIVE,3,1 day,474.9 MB per file,HDF-EOS,2019-12-15T00:00:00.000Z,2002-08-31T00:00:00.000Z,,Aqua,LENA IREDELL,,,,,,,,,OPENDAP,,
AIRS3SPM,AIRS/Aqua L3 Monthly Support Product (AIRS-only) 1 degree x 1 degree V006,006,10.5067/Aqua/AIRS/DATA324,ACTIVE,3,1 month,554.5 MB per file,HDF-EOS,2013-03-12T00:00:00.000Z,2002-09-01T00:00:00.000Z,,Aqua,ED ESFANDIARI,,,,,,,,,OPENDAP,,
AIRS3SPM,Aqua/AIRS L3 Monthly Support Product (AIRS-only) 1 degree x 1 degree V7.0,7,10.5067/IFFMYHMDBEHW,ACTIVE,3,1 month,554.5 MB per file,HDF-EOS,2019-11-15T00:00:00.000Z,2002-09-01T00:00:00.000Z,,Aqua,LENA IREDELL,,,,,,,,,OPENDAP,,
AIRS3ST8,AIRS/Aqua L3 8-day Standard Physical Retrieval (AIRS-only) 1 degree X 1 degree V006,006,10.5067/Aqua/AIRS/DATA312,ACTIVE,3,8 days,452.2 MB per file,HDF-EOS,2013-03-12T00:00:00.000Z,2002-09-01T00:00:00.000Z,,Aqua,ED ESFANDIARI,,,,,,,,,OPENDAP,,
AIRS3STD,AIRS/Aqua L3 Daily Standard Physical Retrieval (AIRS-only) 1 degree x 1 degree V006,006,10.5067/Aqua/AIRS/DATA303,ACTIVE,3,1 day,376.1 MB per file,HDF-EOS,2013-03-12T00:00:00.000Z,2002-08-31T00:00:00.000Z,,Aqua,ED ESFANDIARI,,,,,,,,,OPENDAP,,
AIRS3STD,Aqua/AIRS L3 Daily Standard Physical Retrieval (AIRS-only) 1 degree x 1 degree V7.0,7,10.5067/UO3Q64CTTS1U,ACTIVE,3,1 day,376.1 MB per file,HDF-EOS,2019-12-15T00:00:00.000Z,2002-08-31T00:00:00.000Z,,Aqua,LENA IREDELL,,,,,,,,,OPENDAP,,
AIRS3STM,AIRS/Aqua L3 Monthly Standard Physical Retrieval (AIRS-only) 1 degree x 1 degree V006,006,10.5067/Aqua/AIRS/DATA321,ACTIVE,3,1 month,445.7 MB per file,HDF-EOS,2013-03-12T00:00:00.000Z,2002-09-01T00:00:00.000Z,,Aqua,ED ESFANDIARI,,,,,,,,,OPENDAP,,
AIRS3STM,Aqua/AIRS L3 Monthly Standard Physical Retrieval (AIRS-only) 1 degree x 1 degree V7.0,7,10.5067/UBENJB9D3T2H,ACTIVE,3,1 month,445.7 MB per file,HDF-EOS,2019-12-15T00:00:00.000Z,2002-09-01T00:00:00.000Z,,Aqua,LENA IREDELL,,,,,,,,,OPENDAP,,
AIRSAC3MNH3,Atmospheric Composition Ammonia Volume Mixing Ratio L3,3,10.5067/06YIT7GX74FN,COMPLETE,3,6 minutes,4 MB per file,netCDF,2019-06-05T00:00:00.000Z,2002-09-01T00:00:00.000Z,2016-08-31T23:59:59.999Z,Aqua,LENA IREDELL,,,,,,,,,OPENDAP,,
AIRSIL3MSOLR,Aqua AIRS Level 3 Spectral Outgoing Longwave Radiation (OLR) Monthly,6.1,10.5067/5P7KQ31XI7XJ,ACTIVE,3,1 day,1 MB per file,netCDF,2020-01-15T00:00:00.000Z,2002-08-31T00:00:00.000Z,,Aqua,LENA IREDELL,,,,,,,,,OPENDAP,,
AIRSM_CPR_MAT,AIRS-AMSU variables-CloudSat cloud mask radar reflectivities and cloud classification matchups V3.2,3.2,10.5067/MEASURES/WVCC/DATA201,COMPLETE,2,6 minutes,2 MB per file,netCDF,2013-07-01T00:00:00.000Z,2006-06-15T00:00:00.000Z,2012-12-14T23:59:59.999Z,MEaSUREs,ANDREY SAVTCHENKO,,,,,,,,,,,
AIRS_CPR_IND,AIRS-CloudSat cloud mask and radar reflectivities collocation indexes V4.0,4,10.5067/MEASURES/WVCC/DATA204,ACTIVE,2,6 minutes,63 KB per file,netCDF,2012-06-01T00:00:00.000Z,2006-06-15T00:00:00.000Z,,MEaSUREs,ANDREY SAVTCHENKO,,,,,,,,,,,
AIRS_CPR_MAT,AIRS-CloudSat cloud mask radar reflectivities and cloud classification matchups V3.2,3.2,10.5067/MEASURES/WVCC/DATA203,COMPLETE,2,6 minutes,2 MB per file,netCDF,2013-07-01T00:00:00.000Z,2006-06-15T00:00:00.000Z,2012-12-14T23:59:59.999Z,MEaSUREs,ANDREY SAVTCHENKO,,,,,,,,,,,
