Collection,Title,Version,DOI,Dataset Progress,Level,Granularity,Granule Size,Format,Creation Date,Data Start Date,Data End Date,Mission/Project,Metadata Author,L2,L34RS,GeoTiff,Giovanni,AIRS L1L2,WCS,WMS,THREDDS,OPeNDAP,GDS,Worldview
SNDRSNIML3SMCCPN,Sounder SIPS: Suomi NPP CrIMSS Level 3 Specific Quality Control Gridded Monthly CLIMCAPS Normal Spectral Resolution V2,2,10.5067/C0RELPJG8BYW,ACTIVE,3,1 month,80 MB per file,netCDF,2019-12-15T00:00:00.000Z,2012-04-01T00:00:00.000Z,,SUOMI-NPP,Lena Iredell,,,,,,,,,OPENDAP,,
SNDRSNIML3SMCCP,Sounder SIPS: Suomi NPP CrIMSS Level 3 Specific Quality Control Gridded Monthly CLIMCAPS Full Spectral Resolution V2,2,10.5067/IHHLJSPI5W3O,ACTIVE,3,1 month,80 MB per file,netCDF,2019-12-15T00:00:00.000Z,2015-11-01T00:00:00.000Z,,SUOMI-NPP,Lena Iredell,,,,,,,,,OPENDAP,,
SNDRSNIML3SMCHTN,Sounder SIPS: Suomi NPP CrIMSS Level 3 Specific Quality Control Gridded Monthly CHART Normal Spectral Resolution V1,1,10.5067/N86VFPX4N62N,COMPLETE,3,1 month,13 MB per file,netCDF,2019-01-15T00:00:00.000Z,2013-01-01T00:00:00.000Z,2015-11-01T23:59:59.999Z,SUOMI-NPP,Lena Iredell,,,,,,,,,OPENDAP,,
SNDRSNML2RMSSUP,Sounder SIPS: Suomi NPP ATMS Level 2 RAMSES2 Support V3,3,10.5067/KMEMD53MTTU8,ACTIVE,2,6 minutes,48 MB per file,netCDF,2022-12-12T00:00:00.000Z,2011-12-10T00:00:00.000Z,,SUOMI-NPP,Lena Iredell,,,,,,,,,OPENDAP,,
SNDRSNML2RMS,Sounder SIPS: Suomi NPP ATMS Level 2 RAMSES II: Atmosphere cloud and surface geophysical state V1,1,10.5067/K9LCXRFH92PC,COMPLETE,2,6 minutes,48 MB per file,netCDF,2021-08-04T00:00:00.000Z,2013-01-01T00:00:00.000Z,2015-11-01T23:59:59.999Z,SUOMI-NPP,Feng Ding,,,,,,,,,OPENDAP,,
SNDRSNML2RMS,Sounder SIPS: Suomi NPP ATMS Level 2 RAMSES2 Standard: Atmosphere precipitation and surface geophysical state V3,3,10.5067/FT9GRABK1CMK,ACTIVE,2,6 minutes,48 MB per file,netCDF,2022-12-12T00:00:00.000Z,2011-12-10T00:00:00.000Z,,SUOMI-NPP,Lena Iredell,,,,,,,,,OPENDAP,,
SNDRSNML3DRMS,Sounder SIPS: Suomi NPP ATMS Level 3 RAMSES2 Standard Gridded Daily V3,3,10.5067/FO4V7M6UIUIW,ACTIVE,3,1 day,48 MB per file,netCDF,2023-06-09T00:00:00.000Z,2011-12-10T00:00:00.000Z,,SUOMI-NPP,Lena Iredell,,,,,,,,,OPENDAP,,
SNDRSNML3MRMS,Sounder SIPS: Suomi NPP ATMS Level 3 RAMSES2 Standard Gridded Monthly V3,3,10.5067/37DZJO03XJVJ,ACTIVE,3,1 month,48 MB per file,netCDF,2023-06-09T00:00:00.000Z,2011-12-10T00:00:00.000Z,,SUOMI-NPP,Lena Iredell,,,,,,,,,OPENDAP,,
SNPPATMSL1B,Suomi NPP ATMS Sounder Science Investigator-led Processing System (SIPS) Level 1B Brightness Temperature V1,1,,COMPLETE,1B,6 minutes,10 MB per file,netCDF,2016-04-13T00:00:00.000Z,2011-12-10T00:00:00.000Z,2019-02-01T23:59:59.999Z,SUOMI-NPP,THOMAS HEARTY,,,,,,,,,OPENDAP,,
SNPPATMSL1B,Suomi NPP ATMS Sounder Science Investigator-led Processing System (SIPS) Level 1B Brightness Temperature V2,2,10.5067/HFDD6A30MA10,ACTIVE,1B,6 minutes,10 MB per file,netCDF,2018-01-01T00:00:00.000Z,2011-12-10T00:00:00.000Z,,SUOMI-NPP,THOMAS HEARTY,,,,,,,,,OPENDAP,,
SNPPATMSL1B,Suomi NPP ATMS Sounder Science Investigator-led Processing System (SIPS) Level 1B Brightness Temperature V3,3,10.5067/FCXKUUE9VCLN,ACTIVE,1B,6 minutes,10 MB per file,netCDF,2020-12-01T00:00:00.000Z,2011-12-10T00:00:00.000Z,,SUOMI-NPP,THOMAS HEARTY,,,,,,,,,OPENDAP,,
SNPPCrISL1BFSR,Suomi NPP CrIS Level 1B Full Spectral Resolution V1,1,,COMPLETE,1B,6 minutes,124 MB per file,netCDF,2017-09-01T00:00:00.000Z,2015-11-02T00:00:00.000Z,2017-03-11T23:59:59.999Z,SUOMI-NPP,THOMAS HEARTY,,,,,,,,,OPENDAP,,
SNPPCrISL1BNSR,Suomi NPP CrIS Level 1B Normal Spectral Resolution V1,1,,COMPLETE,1B,6 minutes,124 MB per file,netCDF,2017-09-01T00:00:00.000Z,2012-01-20T12:42:00.000Z,2019-02-01T23:59:59.999Z,SUOMI-NPP,THOMAS HEARTY,,,,,,,,,OPENDAP,,
SNPPCrISL1BNSR,Suomi NPP CrIS Level 1B Normal Spectral Resolution V2,2,10.5067/N9J1D8VZVJUX,ACTIVE,1B,6 minutes,124 MB per file,netCDF,2018-01-01T00:00:00.000Z,2012-01-20T12:42:00.000Z,,SUOMI-NPP,THOMAS HEARTY,,,,,,,,,OPENDAP,,
SNPPCrISL1BNSR,Suomi NPP CrIS Level 1B Normal Spectral Resolution V3,3,10.5067/OZZPDWENP2NC,ACTIVE,1B,6 minutes,124 MB per file,netCDF,2020-12-01T00:00:00.000Z,2012-01-20T12:42:00.000Z,,SUOMI-NPP,THOMAS HEARTY,,,,,,,,,OPENDAP,,
SNPPCrISL1B,Suomi NPP CrIS Level 1B Full Spectral Resolution V2,2,10.5067/9NPOTPIPLMAW,ACTIVE,1B,6 minutes,124 MB per file,netCDF,2018-01-01T00:00:00.000Z,2015-11-02T00:00:00.000Z,,SUOMI-NPP,THOMAS HEARTY,,,,,,,,,OPENDAP,,
SNPPCrISL1B,Suomi NPP CrIS Level 1B Full Spectral Resolution V3,3,10.5067/ZCRSHBM5HB23,ACTIVE,1B,6 minutes,124 MB per file,netCDF,2020-12-01T00:00:00.000Z,2015-11-02T00:00:00.000Z,,SUOMI-NPP,THOMAS HEARTY,,,,,,,,,OPENDAP,,
SNPP_CrIS_VIIRS750m_IND,SNPP CrIS-VIIRS 750-m Matchup Indexes V1,1,10.5067/MEASURES/WVCC/DATA211,ACTIVE,2,6 minutes,45 MB per file,netCDF,2022-04-30T00:00:00.000Z,2015-01-01T00:00:00.000Z,,MEaSUREs,ANDREY SAVTCHENKO,,,,,,,,,,,
SOR3D_COMBINED_001,SORCE Combined XPS SOLSTICE and SIM Solar Spectral Irradiance 24-Hour Means V001,001,10.5067/9PRENS3AL461,COMPLETE,3,entire mission,415 MB per file,ASCII,2021-01-05T00:00:00.000Z,2003-02-25T00:00:00.000Z,2020-02-25T23:59:59.999Z,SORCE,JAMES JOHNSON,,,,,,,,,,,
